"year"	"plothalfid"	"plothalfname"	"plotid"	"plotname"	"inv"	"variable"	"value"
"2012"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"litter"	58.22
"2012"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"litter"	275.08
"2012"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"litter"	100.4
"2012"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"litter"	113.72
"2012"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"litter"	207.76
"2012"	"10"	"LL_B_N"	"5"	"LL_B"	"N"	"litter"	283.74
"2012"	"11"	"LL_C_I"	"6"	"LL_C"	"I"	"litter"	140.47
"2012"	"12"	"LL_C_N"	"6"	"LL_C"	"N"	"litter"	173.31
"2012"	"13"	"CEB_A_I"	"7"	"CEB_A"	"I"	"litter"	85.17
"2012"	"14"	"CEB_A_N"	"7"	"CEB_A"	"N"	"litter"	26.92
"2012"	"15"	"CEB_B_I"	"8"	"CEB_B"	"I"	"litter"	66.79
"2012"	"16"	"CEB_B_N"	"8"	"CEB_B"	"N"	"litter"	171.84
"2012"	"17"	"CEB_C_I"	"9"	"CEB_C"	"I"	"litter"	65.22
"2012"	"18"	"CEB_C_N"	"9"	"CEB_C"	"N"	"litter"	90.6
"2012"	"19"	"G48_B_I"	"10"	"G48_B"	"I"	"litter"	84.26
"2012"	"20"	"G48_B_N"	"10"	"G48_B"	"N"	"litter"	101.57
"2012"	"21"	"G48_C_I"	"11"	"G48_C"	"I"	"litter"	76.75
"2012"	"22"	"G48_C_N"	"11"	"G48_C"	"N"	"litter"	105.42
"2012"	"23"	"G48_D_I"	"12"	"G48_D"	"I"	"litter"	73.69
"2012"	"24"	"G48_D_N"	"12"	"G48_D"	"N"	"litter"	63.83
"2012"	"25"	"G13_A_I"	"13"	"G13_A"	"I"	"litter"	172.45
"2012"	"26"	"G13_A_N"	"13"	"G13_A"	"N"	"litter"	225.09
"2012"	"27"	"G13_B_I"	"14"	"G13_B"	"I"	"litter"	91.77
"2012"	"28"	"G13_B_N"	"14"	"G13_B"	"N"	"litter"	131.67
"2012"	"29"	"G13_C_I"	"15"	"G13_C"	"I"	"litter"	70.7
"2012"	"30"	"G13_C_N"	"15"	"G13_C"	"N"	"litter"	29.27
"2012"	"31"	"G13_D_I"	"16"	"G13_D"	"I"	"litter"	101.72
"2012"	"32"	"G13_D_N"	"16"	"G13_D"	"N"	"litter"	136.07
"2012"	"33"	"K7_A_I"	"17"	"K7_A"	"I"	"litter"	123.08
"2012"	"34"	"K7_A_N"	"17"	"K7_A"	"N"	"litter"	190.19
"2012"	"35"	"K7_B_I"	"18"	"K7_B"	"I"	"litter"	182.59
"2012"	"36"	"K7_B_N"	"18"	"K7_B"	"N"	"litter"	396.93
"2011"	"1"	"G2_A_I"	"1"	"G2_A"	"I"	"litter"	117.55
"2011"	"2"	"G2_A_N"	"1"	"G2_A"	"N"	"litter"	158.18
"2011"	"3"	"G2_B_I"	"2"	"G2_B"	"I"	"litter"	171.26
"2011"	"4"	"G2_B_N"	"2"	"G2_B"	"N"	"litter"	206.48
"2011"	"5"	"G2_C_I"	"3"	"G2_C"	"I"	"litter"	53.46
"2011"	"6"	"G2_C_N"	"3"	"G2_C"	"N"	"litter"	135.09
"2011"	"7"	"LL_A_I"	"4"	"LL_A"	"I"	"litter"	129.39
"2011"	"8"	"LL_A_N"	"4"	"LL_A"	"N"	"litter"	109.19
"2011"	"9"	"LL_B_I"	"5"	"LL_B"	"I"	"litter"	116.5
